property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_count,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,instant_bookable,host_identity_verified,host_since,cancellation_policy,latitude,longitude,guests_included,extra_people,price
Apartment,Entire home/apt,6,1,3,2,41,2,503,10,2,2.8,23,56,41,18,0,1,1652,flexible,40.729554,-73.9335603,4,3,327
Townhouse,Entire home/apt,2,4,1,1,31,2,83,7,1,4.9,19,57,87,196,0,1,1126,flexible,40.62440309,-73.88088656,4,41,335
Apartment,Entire home/apt,2,1,4,4,8,1,256,9,2,4.1,2,37,65,278,0,0,1728,strict,40.59281511,-73.74171841,4,5,213
Apartment,Entire home/apt,4,4,2,1,49,9,714,8,5,2.6,8,7,34,263,1,1,3264,strict_14_with_grace_period,40.71197439,-73.91624005,1,6,399
House,Entire home/apt,8,1,2,1,23,5,55,16,2,3.8,5,14,57,30,1,1,902,strict_14_with_grace_period,40.85086598,-73.72905166,4,6,301
Loft,Private room,5,3,2,1,40,3,869,9,4,1.6,0,22,47,44,1,1,2773,flexible,40.85365267,-73.86373364,1,31,319
House,Private room,3,1,1,1,20,8,486,10,1,5,24,45,83,185,0,1,771,strict_14_with_grace_period,40.88695451,-73.76245474,2,19,272
House,Entire home/apt,2,3,5,5,14,1,817,8,3,3.7,9,58,77,230,0,1,424,flexible,40.62213779,-73.8463897,4,34,344
Apartment,Entire home/apt,5,4,2,3,25,7,697,8,5,4.1,28,26,78,336,1,1,1952,strict_14_with_grace_period,40.87584992,-73.86990397,4,29,307
Loft,Entire home/apt,3,2,4,5,49,8,1101,7,1,4.9,2,37,12,18,0,1,552,strict_14_with_grace_period,40.58263059,-73.82194386,2,9,341
Apartment,Entire home/apt,5,4,3,4,48,2,328,8,2,3,28,19,21,221,1,0,1318,flexible,40.5324547,-73.97852942,1,47,397
Townhouse,Entire home/apt,3,3,NA,2,9,5,300,7,4,1.8,15,49,77,60,1,1,2494,flexible,40.7346754,-73.77458539,4,11,264
Bed & Breakfast,Private room,9,1,3,3,39,3,984,7,4,4.7,5,49,8,52,0,1,1507,flexible,40.67763348,-73.73978776,2,0,321
Loft,Hotel room,4,4,1,1,37,6,312,10,3,3.4,26,9,71,72,0,1,1014,strict,40.87789497,-73.74230332,2,21,408
House,Entire home/apt,4,4,5,6,35,6,1051,11,1,1.2,28,40,23,233,0,1,2518,flexible,40.53903449,-73.73363237,4,7,504
House,Entire home/apt,4,2,4,5,19,4,411,12,2,3.7,26,51,50,121,0,1,3486,strict,40.50208446,-73.94697432,1,29,285
Condominium,Entire home/apt,1,2,4,5,27,5,789,8,3,3.6,29,2,9,62,1,1,3567,moderate,40.65019416,-73.97261407,4,42,346
Apartment,Private room,1,2,5,5,11,8,398,3,3,2.2,2,53,89,242,0,0,1618,moderate,40.81940074,-73.94656894,4,17,293
Apartment,Private room,2,1,5,6,16,8,1111,12,1,3.3,23,54,0,217,0,1,2103,moderate,40.88050784,-73.79509956,1,24,322
Condominium,Private room,4,1,4,4,38,NA,59,9,2,4.6,0,31,23,249,1,0,2246,moderate,40.80111473,-73.97848524,1,14,282
Loft,Shared room,8,3,5,4,28,3,184,9,3,0.6,11,27,70,80,1,1,2478,moderate,40.62679021,-73.81113867,1,10,342
Townhouse,Entire home/apt,8,3,3,3,48,6,379,10,1,2.8,3,49,44,201,0,1,2619,strict_14_with_grace_period,40.5426432,-73.83374667,4,3,460
Townhouse,Entire home/apt,2,4,3,2,8,7,1004,15,1,4.1,28,52,28,352,1,1,450,strict_14_with_grace_period,40.76709442,-73.80964877,3,0,336
Townhouse,Private room,5,1,5,6,30,3,129,16,4,0.7,16,23,26,332,1,1,757,flexible,40.88997839,-73.89011988,4,4,330
Loft,Entire home/apt,3,1,4,5,22,2,581,14,3,0.8,26,55,5,98,0,1,1686,flexible,40.87092901,-73.73069897,3,3,361
